18/11/25 05:39:35 INFO client.RMProxy: Connecting to ResourceManager at master/172.16.1.1:8032
18/11/25 05:39:36 INFO input.FileInputFormat: Total input paths to process : 32
18/11/25 05:39:36 INFO mapreduce.JobSubmitter: number of splits:32
18/11/25 05:39:36 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1543099092534_0033
18/11/25 05:39:36 INFO impl.YarnClientImpl: Submitted application application_1543099092534_0033
18/11/25 05:39:36 INFO mapreduce.Job: The url to track the job: http://master:8088/proxy/application_1543099092534_0033/
18/11/25 05:39:36 INFO mapreduce.Job: Running job: job_1543099092534_0033
18/11/25 05:39:44 INFO mapreduce.Job: Job job_1543099092534_0033 running in uber mode : false
18/11/25 05:47:42 INFO mapreduce.Job:  map 73% reduce 7%
18/11/25 05:47:45 INFO mapreduce.Job:  map 73% reduce 8%
18/11/25 05:47:48 INFO mapreduce.Job:  map 74% reduce 9%
18/11/25 05:47:51 INFO mapreduce.Job:  map 74% reduce 10%
18/11/25 05:47:54 INFO mapreduce.Job:  map 74% reduce 11%
18/11/25 05:47:57 INFO mapreduce.Job:  map 74% reduce 14%
18/11/25 05:48:00 INFO mapreduce.Job:  map 74% reduce 15%
18/11/25 05:48:02 INFO mapreduce.Job:  map 75% reduce 15%
18/11/25 05:48:04 INFO mapreduce.Job:  map 75% reduce 16%
18/11/25 05:48:07 INFO mapreduce.Job:  map 75% reduce 18%
18/11/25 05:48:08 INFO mapreduce.Job:  map 76% reduce 18%
18/11/25 05:48:10 INFO mapreduce.Job:  map 76% reduce 19%
18/11/25 05:48:13 INFO mapreduce.Job:  map 76% reduce 20%
18/11/25 05:48:14 INFO mapreduce.Job:  map 77% reduce 20%
18/11/25 05:48:16 INFO mapreduce.Job:  map 77% reduce 21%
18/11/25 05:48:19 INFO mapreduce.Job:  map 78% reduce 22%
18/11/25 05:48:22 INFO mapreduce.Job:  map 78% reduce 23%
18/11/25 05:48:24 INFO mapreduce.Job:  map 79% reduce 23%
18/11/25 05:48:28 INFO mapreduce.Job:  map 80% reduce 23%
18/11/25 05:48:31 INFO mapreduce.Job:  map 81% reduce 23%
18/11/25 05:48:40 INFO mapreduce.Job:  map 81% reduce 24%
18/11/25 05:48:44 INFO mapreduce.Job:  map 82% reduce 24%
18/11/25 05:49:08 INFO mapreduce.Job:  map 83% reduce 24%
18/11/25 05:49:15 INFO mapreduce.Job:  map 84% reduce 24%
18/11/25 05:49:21 INFO mapreduce.Job:  map 85% reduce 24%
18/11/25 05:49:30 INFO mapreduce.Job:  map 86% reduce 24%
18/11/25 05:49:53 INFO mapreduce.Job:  map 87% reduce 24%
18/11/25 05:50:04 INFO mapreduce.Job:  map 88% reduce 24%
18/11/25 05:50:19 INFO mapreduce.Job:  map 89% reduce 24%
18/11/25 05:50:32 INFO mapreduce.Job:  map 90% reduce 24%
18/11/25 05:50:43 INFO mapreduce.Job:  map 91% reduce 24%
18/11/25 05:50:53 INFO mapreduce.Job:  map 92% reduce 24%
18/11/25 05:50:59 INFO mapreduce.Job:  map 93% reduce 24%
18/11/25 05:51:04 INFO mapreduce.Job:  map 93% reduce 25%
18/11/25 05:51:08 INFO mapreduce.Job:  map 94% reduce 25%
18/11/25 05:51:20 INFO mapreduce.Job:  map 95% reduce 25%
18/11/25 05:51:34 INFO mapreduce.Job:  map 96% reduce 25%
18/11/25 05:51:42 INFO mapreduce.Job:  map 97% reduce 25%
18/11/25 05:51:46 INFO mapreduce.Job:  map 97% reduce 26%
18/11/25 05:51:49 INFO mapreduce.Job:  map 97% reduce 27%
18/11/25 05:51:52 INFO mapreduce.Job:  map 97% reduce 29%
18/11/25 05:51:59 INFO mapreduce.Job:  map 98% reduce 29%
18/11/25 05:52:05 INFO mapreduce.Job:  map 98% reduce 30%
18/11/25 05:52:17 INFO mapreduce.Job:  map 99% reduce 30%
18/11/25 05:52:31 INFO mapreduce.Job:  map 99% reduce 31%
18/11/25 05:52:38 INFO mapreduce.Job:  map 100% reduce 31%
18/11/25 05:52:50 INFO mapreduce.Job:  map 100% reduce 32%
18/11/25 05:52:53 INFO mapreduce.Job:  map 100% reduce 33%
18/11/25 05:55:24 INFO mapreduce.Job:  map 100% reduce 34%
18/11/25 05:55:26 INFO mapreduce.Job:  map 100% reduce 35%
18/11/25 05:55:29 INFO mapreduce.Job:  map 100% reduce 37%
18/11/25 05:55:32 INFO mapreduce.Job:  map 100% reduce 39%
18/11/25 05:55:35 INFO mapreduce.Job:  map 100% reduce 40%
18/11/25 05:55:38 INFO mapreduce.Job:  map 100% reduce 42%
18/11/25 05:55:41 INFO mapreduce.Job:  map 100% reduce 44%
18/11/25 05:55:44 INFO mapreduce.Job:  map 100% reduce 45%
18/11/25 05:55:47 INFO mapreduce.Job:  map 100% reduce 47%
18/11/25 05:55:50 INFO mapreduce.Job:  map 100% reduce 49%
